,acf,bzj,cab,car,crs,djk,eng,ewe,fas,fin,fon,fra,fuv,guc,gul,hat,ibo,icr,jam,kor,kri,ktu,mai,mfe,mlg,nld,pap,pcm,por,sag,spa,sqi,srm,srn,swh,tam,tpi,twi,yom,yor,zul
kri,13.337700698687701,11.994212333795785,10.597029069388826,8.807063187452705,14.90292512141464,11.14585945014564,14.49403830739474,8.668818687526937,5.912100479895115,10.226325048459737,14.887623019189974,12.848608349556484,13.860685272172383,13.42271305498837,11.384194397622384,12.870858200559857,12.677173312246623,13.459053478502511,11.517432609603093,9.232880214728237,11.953501508914677,12.059295822238752,9.206968804407435,10.935086688458027,9.379679018566803,8.58211501712709,12.980744722466527,15.719967967139887,11.35727966177833,10.39944259977651,11.361538857572866,11.357139934829108,9.709324709104493,12.946167151061225,11.428405292295048,12.805246230759765,8.785163854361736,14.585461054138968,18.488351126363657,13.129878217679863,12.259518780164449
ktu,13.054915559673164,11.947324648434483,11.466629244623308,8.98021705893223,14.63959496152412,9.552561192878848,10.963795957644848,7.762123423456373,5.912100479895115,11.492665135649222,9.421960193309804,12.575366618968916,13.149200159321172,13.493691041728484,11.172755483652912,13.446237414774895,14.958622545196384,13.40740110097862,11.353194312415235,10.24786510386465,11.349135196538832,12.383840895769294,9.351035712018174,10.076484729980525,8.878222637293973,12.348083257413247,12.096074889471103,14.006679145777804,10.441361552582373,11.710241714595586,12.876859232140678,11.896554697673086,10.506999221943609,12.411812222109713,15.095636700585723,12.940752757527157,9.256135022000224,15.509664793415439,17.743942760714116,12.978343466828356,11.277597758530133
mai,13.614422807554739,13.362329866459252,13.220081436930123,10.169039739909499,14.649692362907057,12.215413523288447,3.402817720432974,6.987096789678578,5.912100479895115,9.319119659219407,11.872580843815918,13.446812225696913,9.963080513825846,12.950205995351732,10.406837766424582,12.685502538738344,12.558061744757953,13.549891171407008,11.532467528542616,6.687210205642641,9.474365022206488,11.164402326801111,10.263105492544193,13.925592782439706,8.756571783864517,9.512260399490678,12.802527013697668,15.95514179738208,14.972290803419844,10.729027491871253,11.560138217218508,5.272132342451571,10.500019277802975,12.566008904871278,13.633840842453985,12.749422866589299,8.053221348195585,14.731465731337124,9.776092282961216,12.256116069170744,10.539826438731158
mfe,13.189845645623166,11.71484220832775,8.884746408640023,9.01544698917485,14.808224366184788,10.969359367922259,13.333224147094583,8.59915333009218,5.912100479895115,10.526568567327153,8.424597763234626,12.445959083198167,12.983485452946598,13.98415002789263,8.75521813558785,13.682009581736896,12.704332712654493,13.498390138143934,10.9959181881976,9.898232074853611,11.471138178546664,12.188717088585719,9.988341310449718,10.98149932360754,10.09952294299563,11.38841305570628,12.103819312440374,14.516320477200642,12.58438058814973,11.348329967232129,13.38661043678837,11.99718724421583,8.975961952856123,11.820672912088183,11.711812213710195,12.933050759939619,8.575628461163946,14.682948906406029,18.41050017339502,12.98703450147894,13.243583455172239
mlg,13.491987642082334,11.43598153126347,11.84598919444833,9.1028451746331,15.483335195872225,12.023365451371278,12.294745841416358,8.902584339501004,5.912100479895115,10.619877582626962,8.508009321165712,12.811241022603543,14.540008308774397,13.71361668405244,10.81245575903479,13.853271935345848,13.251149556356214,13.509643350433285,11.009572319130719,8.935214166128581,12.198451079081977,12.131443186114518,9.328959943777793,10.749192548198513,8.533947188298647,11.458149096723846,11.914735136750435,15.190692621904228,13.721005420463609,11.927232032032489,12.030482333129306,13.010402454480694,9.571079038025784,11.809517405990947,13.876228271683425,12.930908889238124,8.58068347090613,14.779377307715382,17.574775130568167,13.134524262016031,12.053877914055155
nld,13.832512314601228,11.67909681714678,8.630769054562611,9.076522458283295,15.075687983383853,11.123886541978877,13.941955849784671,9.061105558792775,5.912100479895115,10.056867283819356,8.310225480774859,12.11233172705298,13.365383918344886,13.897928544701388,9.165596478656745,14.409814977442256,13.11495961345761,13.47278052565653,10.931466163495518,9.675113601379945,11.510522627383757,12.028485124755818,10.222877020754137,11.17189398733226,8.627964321118037,10.426501513102219,11.648850580771072,15.296825241972478,12.878003683930627,10.92038468389939,12.405433053787842,11.519101634147992,9.744499255503666,12.356031628004803,11.95788403326628,12.876603754490167,9.264894397065005,14.664810413430542,17.846262264420083,13.113468192041033,13.371800167500373
pap,12.452891891002803,11.972598775095296,10.475243178389999,8.9980860576017,15.375513419371451,11.129331348739017,12.987610586691606,8.062054997331407,5.912100479895115,11.591409908064142,8.935455251843285,12.819926410058082,13.46184917375901,13.398965155755919,10.24829502648452,13.208777507233563,13.985149069310065,13.455234849749578,11.114089071074956,9.708513841392605,11.688172414455916,12.253246982261045,9.942241253497667,11.389367482699326,9.012893282972627,11.74190876836446,11.514103004737757,15.230557956062295,13.025690005439639,11.546471017407555,12.319373778053482,12.720322710857838,9.68593628447396,12.134017678265751,13.757321782046612,12.917501347739746,8.516505983018318,14.551715484448755,17.92675333431179,13.133438676724726,12.67487699995615
pcm,13.438884549302188,12.417722867378904,10.250389037418339,8.95556039558859,15.340168674954654,10.824291879132836,12.547090753702383,8.537889637092144,5.912100479895115,10.786808750351023,9.254052333344772,12.851243691059997,13.30214217040264,13.677103867173498,10.174834165412133,12.537793308102628,12.662155469035383,13.46032126538083,11.1339298905426,9.717295135268134,11.763037836907145,12.419180776704414,9.437486683672098,10.929360194067284,9.176939606783272,12.06550370521434,12.343654038235536,15.411511657955318,13.093906246373749,10.675847388264717,13.155363698957343,11.504527305807235,9.140833128318253,11.636599857514843,12.249974045990747,12.864195786885704,8.850183008332877,14.668240420591664,18.03215376857144,13.141173836074532,12.615567338931747
por,13.50200073044434,11.761933375988294,11.447468528166995,9.041056847972136,15.358571500133019,12.297706991084421,13.395556053218947,8.857097911449276,5.912100479895115,10.46404936240342,10.403288336688405,13.054981210998054,12.453267302026589,13.820190314543645,10.440615293596721,13.868787125860587,13.103931467807994,13.418147024878339,11.033436077929466,9.103633488457366,11.461749798158179,11.753080056423414,9.609254800731716,10.926258981397135,8.80883905665329,11.708276397523704,9.888639390835118,15.404516146740137,11.879319601695364,10.976964072009263,11.647189393608572,12.300213234106813,10.318578738969359,12.124193858099826,12.037114427076428,12.903520101015506,9.082026552807235,14.503231883762687,18.213747870194997,13.04928724193408,10.82789594566742
sag,11.980345436982981,12.172332969923332,11.197270944393606,9.02424235983754,15.327831020391669,11.626776602008567,12.63916128246551,7.57253788998369,5.912100479895115,11.432044575000376,9.259008005282492,12.792604219700902,14.166511672165289,13.573024369991787,11.738248817263226,13.723945098041627,13.254330036407397,13.464780963851908,11.194713734538418,8.873960075097516,11.506707795718185,11.935465718358278,10.506754713506758,10.488519423372821,10.892484160144095,12.28548155675469,11.59921445200911,14.497773299078942,11.351810522882849,10.993786659656053,12.493180120977328,11.7608686877142,11.238067677818933,10.855900672240399,13.230044295138995,12.95855044259585,9.025030419444928,14.63711310782762,17.890169676256278,13.124285039418252,10.84804356843903
